ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
219583_s_at,5.418750955705882,3.620380962048077,-1.7983699936578046,4.440557450500951e-11,1.022189730455046e-09
219594_at,5.4948117921764705,4.117160762663461,-1.377651029513009,4.0676109351692924e-06,3.5993212910279636e-05
219595_at,4.434036136823529,5.638091162711539,1.2040550258880094,2.577090853875623e-06,2.3735241598663116e-05
219603_s_at,7.902783272235293,6.722313569951924,-1.1804697022833697,3.151359072109946e-05,0.00022835638183309708
219607_s_at,7.199771226999999,4.143240389653846,-3.0565308373461537,9.654766718768467e-11,2.0927224493394125e-09
219616_at,6.5634085802941176,3.4847878785288464,-3.078620701765271,8.884915439863756e-18,6.107428208971335e-16
219624_at,4.249278264411764,2.878380042528846,-1.3708982218829178,2.5860836794053295e-11,6.200924981992556e-10
219625_s_at,8.773647376705881,7.177304401038461,-1.5963429756674206,8.718842931227369e-13,2.6436588196916535e-11
219626_at,4.18511249117647,2.7538112406730773,-1.431301250503393,6.919541941854404e-21,7.884377445604833e-19
219627_at,4.174555634529412,5.184491834769231,1.0099362002398191,7.249712876412396e-08,9.199769334613163e-07
219630_at,3.7655622468823537,6.130982505769231,2.3654202588868776,9.650739239582728e-06,7.899335587240337e-05
219635_at,5.2112812493529415,6.361341557749999,1.150060308397058,5.3230394671132e-05,0.000364616178558699
219643_at,5.371515838235294,2.6973409019230767,-2.6741749363122174,9.073718127521387e-13,2.7406445029440497e-11
219648_at,7.785935500764706,9.170774270192307,1.384838769427601,7.0523020192792075e-06,5.929865843633336e-05
219654_at,5.19183969217647,3.601799631076924,-1.590040061099546,4.4191498479601574e-05,0.0003087070005782893
219663_s_at,2.6185073091764703,3.6774898583365383,1.058982549160068,1.5721030821075798e-05,0.00012291049150315084
219666_at,8.045872497470588,6.753580154682691,-1.2922923427878974,0.0006667325069844806,0.003416863239315114
219667_s_at,5.5592547439999995,2.7747654750192305,-2.784489268980769,3.0176264780459195e-18,2.2530647817410156e-16
219676_at,4.790612996705882,6.279878156413462,1.48926515970758,5.979298025177719e-13,1.8798623670286564e-11
219682_s_at,6.007935495411765,7.3181715834230765,1.3102360880113118,0.001248300262033151,0.00591414756957529
219689_at,8.463031138411765,4.9214124827596155,-3.541618655652149,2.9140310379365135e-13,9.662509114188152e-12
219696_at,5.43088001782353,7.192816349153846,1.7619363313303156,3.057535670841097e-08,4.186584028570904e-07
219709_x_at,6.555095412999999,7.868658098769231,1.3135626857692317,4.0118718383623895e-08,5.365448494633198e-07
219719_at,4.785912919470587,2.8979195829807693,-1.887993336489818,4.8044793524977186e-17,2.9364353704364275e-15
219734_at,4.975141254764706,6.245130229817308,1.2699889750526019,0.003347667691239175,0.01384813967865264
219736_at,3.0351766768235295,4.253862445144231,1.218685768320701,0.0029149311982343508,0.012315685854500127
219737_s_at,8.082991709647057,4.386902756125,-3.6960889535220574,2.344903484463493e-25,5.160584164456975e-23
219738_s_at,6.135114340058824,2.5159391575192305,-3.619175182539594,2.58275771941928e-31,1.6018674269111918e-28
219747_at,3.823446880117647,2.818905339576924,-1.004541540540723,0.00021252562790833544,0.0012469830408094
219767_s_at,6.9186288047647055,5.539206944615385,-1.3794218601493204,3.67713101788876e-12,1.0069951521593108e-10
219768_at,4.975407642882352,7.70161332864423,2.7262056857618777,1.454338030237202e-06,1.408130483454253e-05
219770_at,7.112068544764706,5.309412245346154,-1.802656299418552,1.6877869748350106e-17,1.1058550456124855e-15
219777_at,7.466974152705882,6.099047693336538,-1.367926459369344,1.7130624339306886e-06,1.6368563477153896e-05
219778_at,5.915133496529412,3.3398424426249997,-2.5752910539044125,4.3892409335430784e-20,4.332014121371567e-18
219779_at,4.510642925411766,3.0168665191250006,-1.4937764062867651,9.525369871343024e-18,6.506697899975356e-16
219785_s_at,6.249628308529411,5.068242978211538,-1.1813853303178732,0.00028272133303303707,0.001609874557705804
219786_at,2.6733993165882346,4.466069802480769,1.7926704858925344,2.009532217397273e-07,2.3261560740896237e-06
219787_s_at,5.614757201764705,7.696606947173076,2.0818497454083706,1.1133120202890269e-12,3.3059552097581495e-11
219789_at,6.825229255705883,3.1533196173749998,-3.6719096383308836,5.2311750431292176e-24,9.777818584895532e-22
219799_s_at,5.101158186705882,3.7663091693557695,-1.3348490173501122,1.0134712704293058e-05,8.248471289704903e-05
219825_at,5.012455884117648,3.0016625186538457,-2.010793365463802,9.068236657473977e-12,2.3313014061623746e-10
219848_s_at,6.467169862294117,7.503928310288462,1.0367584479943446,1.1458781935157114e-05,9.221599222042762e-05
219850_s_at,2.6572156222352943,4.084640412394231,1.4274247901589368,8.778883241876538e-05,0.0005710878050755418
219857_at,3.6340881297647054,5.266870627028847,1.6327824972641412,8.771649401183717e-05,0.0005708213338109051
219873_at,3.8964460935294114,2.8930575524999997,-1.0033885410294117,9.02336908898864e-06,7.430393203197208e-05
219874_at,3.8811323845882355,6.146929467259615,2.2657970826713796,6.928065306529825e-11,1.5503356964538388e-09
219888_at,2.999158968588236,4.218822434865385,1.219663466277149,4.163725155678162e-05,0.00029296371699337166
219895_at,3.6481377494117644,2.5579531273461535,-1.0901846220656108,7.554122490057674e-08,9.56160601541878e-07
219902_at,6.941614360352941,2.950475047,-3.991139313352941,1.9397541665454694e-30,9.987721005272186e-28
219906_at,4.711626217117647,6.130685820221154,1.4190596031035065,3.700315277972192e-11,8.652935199504896e-10
219909_at,4.295739390117647,2.398338294173077,-1.89740109594457,7.121752411467247e-21,8.081042096995236e-19
219918_s_at,3.169938553941176,5.481510481144231,2.311571927203055,3.308420243145448e-09,5.4274201518074965e-08
219923_at,4.780266166764706,5.913977391298077,1.1337112245333705,1.3364104850445495e-06,1.3056165627999266e-05
219926_at,3.4260594350588236,2.419040200634615,-1.0070192344242086,9.702685988290603e-08,1.2000065682187012e-06
219929_s_at,3.9281525682352942,2.6783908646442307,-1.2497617035910635,1.2404373249304013e-10,2.6435700412876365e-09
219935_at,9.125630637352941,5.379049438269231,-3.7465811990837103,2.8209421045222574e-17,1.7861276000315577e-15
219937_at,5.143222566117647,2.401174415221154,-2.7420481508964927,1.0149837553402388e-31,6.674313058158421e-29
219939_s_at,10.432288002941178,9.229630355817308,-1.2026576471238695,4.268424278128394e-09,6.846839292729524e-08
219956_at,3.061158575294118,6.459661390153846,3.398502814859728,2.999318329957374e-12,8.309634270596118e-11
219961_s_at,6.818329028352942,5.3772904207500005,-1.4410386076029411,1.172706549306557e-08,1.7191821314693144e-07
219970_at,3.9107427275294127,2.486575666615385,-1.4241670609140278,4.017482946503041e-18,2.9197097435045204e-16
219974_x_at,7.339380333352941,4.8230650864519236,-2.5163152469010175,1.3407821993470796e-15,6.391139882809105e-14
219976_at,4.638635935705882,7.599079041442307,2.9604431057364247,5.422308507364617e-19,4.588281798813231e-17
219978_s_at,2.952177512941176,5.3098302571057685,2.3576527441645925,1.8744299771377282e-10,3.870772369360577e-09
